iteration,Ux,Uy,e,p,omega,k
1,0.9999998867,0.9999998989,0.9999995776,1.0,0.0001182789069,1.0
2,0.00833086937,0.01369496781,0.7168469679,0.0303932028,3.679248666e-05,0.2788010299
3,0.007084888272,0.01071800347,0.09662527987,0.0576858902,2.650961182e-05,0.1383697778
4,0.005630376315,0.007993186833,0.04789117864,0.04657682171,1.574483711e-05,0.07384706308
5,0.004970230487,0.006057013336,0.03510921783,0.01179924692,1.019640201e-05,0.04896026321
6,0.005437424343,0.006913595943,0.03698540426,0.008401048742,7.373973238e-06,0.04293082324
7,0.006164164357,0.008068859432,0.04430325337,0.009385129403,4.690361791e-06,0.04257251486
8,0.006285265423,0.007647796146,0.05271693068,0.03314004405,2.926317181e-06,0.03953444071
9,0.005800742117,0.005647223368,0.06142736703,0.01423081254,4.300457651e-06,0.01939490347
10,0.006208550643,0.005563743722,0.0834511056,0.009168416121,5.175118779e-06,0.0112207711
11,0.007495092304,0.007935907183,0.1102079714,0.01018574594,4.503021521e-06,0.007067386603
12,0.009073028823,0.01052857702,0.1194539398,0.02562752661,2.196745845e-06,0.004629920727
13,0.009790862004,0.01070837824,0.0987644625,0.02277497173,3.398831975e-06,0.003060626145
14,0.01083399793,0.00981294814,0.08892481767,0.0119077879,4.67907052e-06,0.001986362451
15,0.01255049126,0.01293088384,0.0992925407,0.01175392062,4.481713873e-06,0.001219299467
16,0.01476678034,0.01731645175,0.1212970042,0.01921138116,1.951085878e-06,0.0006551264811
17,0.01547001764,0.01869970221,0.1518704446,0.08390964901,2.803392005e-06,0.0002307359006
18,0.01458633986,0.01506496197,0.1841085193,0.02171684397,4.402536772e-06,0.0001664950739
19,0.01588352104,0.01565924648,0.2294118461,0.02008079746,5.16380167e-06,0.0004025677054
20,0.01887619765,0.02062228111,0.2733706188,0.02229180463,4.174001306e-06,0.0005836000311
21,0.02246386879,0.02654633029,0.2877795551,0.05761913458,1.3860376e-06,0.0007213696287
22,0.02253043518,0.02574684029,0.2304417856,0.04792023398,3.585058954e-06,0.0008312870617
23,0.02227345126,0.02233080032,0.1924951844,0.02867862309,5.012208978e-06,0.0009189725842
24,0.02437369925,0.02468204297,0.2058751363,0.02788832479,5.08894933e-06,0.0009847992627
25,0.02889886438,0.0315725899,0.241645948,0.03451369672,2.286673574e-06,0.00103395677
26,0.02995821291,0.03637334652,0.2590975162,0.6142563329,2.121404481e-06,0.001071582637
27,0.02384841555,0.02939019379,0.2246947754,0.04729390145,3.972111991e-06,0.001100323589
28,0.02261414178,0.02775561926,0.2215053917,0.0420489385,4.938285027e-06,0.001120460334
29,0.02545983607,0.02910001839,0.2578739559,0.04018561729,5.005580194e-06,0.001132381628
30,0.03128269931,0.03618825008,0.3159328054,0.04980869248,2.513978911e-06,0.001136520514
31,0.03380029852,0.04079867818,0.326638983,0.3521931253,2.602471863e-06,0.001133187473
32,0.0286792923,0.03321911298,0.251456362,0.05054588542,4.589885669e-06,0.001123087852
33,0.02735461995,0.03275127063,0.2323787094,0.04582573546,5.598956905e-06,0.001109016506
34,0.03110686843,0.03361767721,0.266470674,0.04276454062,4.51148387e-06,0.001092927722
35,0.03696163978,0.04199857164,0.3050420529,0.07130207477,1.211331569e-06,0.001076645007
36,0.03229393912,0.04141029749,0.2705503883,0.118856262,2.886359413e-06,0.001062087382
37,0.02516197194,0.03388197852,0.2136209261,0.06223335907,4.364783421e-06,0.001048201553
38,0.02383443565,0.03380148101,0.2075913076,0.05535332051,5.135287971e-06,0.001033609102
39,0.02818382305,0.03416112078,0.2593991021,0.04992731571,4.633931566e-06,0.001017508589
40,0.03330646644,0.04037706137,0.310710035,0.0717802923,1.724516853e-06,0.0009991604521
41,0.03368456615,0.04143862998,0.3146558737,0.1741201061,2.922499177e-06,0.0009779441639
42,0.02973173652,0.03531902693,0.26396913,0.05716999049,4.845355902e-06,0.0009544224839
43,0.02847744729,0.03597685321,0.2453332352,0.05161634253,5.595523782e-06,0.0009307756801
44,0.03338960514,0.03644907795,0.2801605781,0.04806011387,3.742998332e-06,0.0009081503569
45,0.03749281669,0.04347930142,0.3070368696,0.1180142706,1.370609678e-06,0.0008878995983
46,0.03007109103,0.03901962317,0.2401372564,0.08754673011,3.388931797e-06,0.0008711270677
47,0.02410236504,0.03410289624,0.1893248476,0.06583405782,4.64581194e-06,0.0008560597125
48,0.02338609852,0.03523406087,0.1941252581,0.0583958501,5.291821151e-06,0.0008414486054
49,0.02793976616,0.03647728425,0.2453635626,0.05163302825,4.592096889e-06,0.0008265426766
50,0.03107727736,0.03879661163,0.2707007725,0.08078010295,1.668896984e-06,0.000810530037
51,0.03029505392,0.03749931803,0.2620689035,0.1808485281,2.91122271e-06,0.0007928143858
52,0.02970899208,0.03429745,0.2580783889,0.05866072577,4.923895823e-06,0.0007735261949
53,0.02893195396,0.0352537764,0.2457174081,0.05358289178,5.466477857e-06,0.0007544416949
54,0.03312960067,0.03598882669,0.2646532775,0.05272572114,3.076047169e-06,0.0007364789094
55,0.03550393429,0.04293385982,0.279091281,0.1926403389,1.670408495e-06,0.0007209447255
56,0.02721561818,0.03652390662,0.2108420383,0.07943847353,3.681712576e-06,0.0007085127972
57,0.02241874169,0.0328831522,0.1719239085,0.06742533718,4.829692501e-06,0.0006975667483
58,0.02197817565,0.03429276513,0.1787936521,0.06057589949,5.421941501e-06,0.0006871131578
59,0.02615226747,0.03640851021,0.2147864186,0.05134620707,4.842955167e-06,0.0006765316403
60,0.02780880667,0.03663173964,0.220823071,0.07351362162,2.221451357e-06,0.000665121137
61,0.02625551396,0.03439317898,0.2057233107,0.3183832205,2.315972057e-06,0.0006523652537
62,0.02810799573,0.03269667407,0.2201075486,0.06315596706,4.714544502e-06,0.0006380620586
63,0.02817716475,0.03343725671,0.2162489885,0.05304165542,5.434565214e-06,0.0006234733144
64,0.03085912534,0.03441358947,0.2183879042,0.05422284493,2.895553576e-06,0.0006094134046
65,0.03236023116,0.04190321293,0.2302271025,0.2397884566,1.811496606e-06,0.0005971215936
66,0.02475805968,0.03519483204,0.1808600647,0.07625615134,3.816090626e-06,0.0005871959626
67,0.020702343,0.03135417627,0.1492534402,0.06569524886,4.946964416e-06,0.0005782560346
68,0.02028790773,0.03292918423,0.1507005308,0.05880490343,5.535836077e-06,0.0005694895898
69,0.02388713991,0.03529063276,0.170207134,0.04866855474,5.23451305e-06,0.0005603556782
70,0.02503061447,0.03462417911,0.1700682736,0.06132017435,3.024002614e-06,0.0005503036713
71,0.02316239252,0.03177957363,0.1547018515,0.322167339,1.30198853e-06,0.0005388261776
72,0.02421774161,0.02920620039,0.1628883941,0.0761875676,4.306386723e-06,0.0005257703843
73,0.02619822622,0.03066010764,0.1734523928,0.05051094697,5.504937828e-06,0.0005116593153
74,0.02754670148,0.03177571978,0.1714352006,0.05091773767,3.246491862e-06,0.0004972049382
75,0.02860666971,0.03880200576,0.1763911084,0.1753694824,1.646114778e-06,0.0004834321857
76,0.0234214967,0.03356690495,0.1502660666,0.0755615894,3.768406846e-06,0.0004711561747
77,0.01978097776,0.02900659901,0.1254522631,0.06256718923,4.967880885e-06,0.0004591419587
78,0.01961729812,0.0305225156,0.1247712147,0.05590323543,5.592866281e-06,0.0004466932263
79,0.02248835128,0.03258848189,0.1360089748,0.04693156952,5.486290633e-06,0.0004333516518
80,0.02376915334,0.03227004203,0.135138385,0.05402630676,3.454047128e-06,0.0004188491352
