# Ampofo and Karayiannis (2003) Table 2, pp. 3556-3557: experimental
# results at Y = 0.5.  Extracted from the PDF text layer of
# docs/papers/buoyant_natural_convection/ampofo_karayiannis_2003_ijhmt_46.pdf
# (identified by its own metadata DOI doi:10.1016/S0017-9310(03)00147-9,
# sha256 c193d79e3eb8cba5d1fd6af085c3a8c4c9497df80f90292287282694ed64ffaf).
# NOT digitized from a figure: this is the paper's own printed table.
# V0 = sqrt(g.beta.H.dT) = 1 m/s and dT = Th - Tc = 40 K, so the
# velocity columns are also m/s.
# X	v/V0	u/V0	vrms/V0	urms/V0	(T-Tc)/dT	Trms/dT	uv/V0^2	vT/(V0.dT)	uT/(V0.dT)	k/V0^2
5.000000e-01	-6.900000e-05	5.790000e-04	5.029000e-03	5.159000e-03	5.174000e-01	3.188100e-03	1.100000e-06	8.725000e-07	1.032500e-06	3.893000e-05
5.600000e-01	-4.870000e-04	1.066000e-03	4.440000e-03	5.004000e-03	5.188000e-01	3.100700e-03	-2.800000e-06	1.475000e-05	1.125000e-06	3.356500e-05
6.000000e-01	-1.810000e-04	1.785000e-03	4.420000e-03	4.125000e-03	5.154000e-01	4.833700e-03	-2.000000e-06	-2.350000e-06	1.150000e-06	2.741400e-05
6.400000e-01	-6.060000e-04	2.146000e-03	4.517000e-03	4.135000e-03	5.165000e-01	4.035200e-03	-2.000000e-06	5.000000e-07	-4.250000e-07	2.812600e-05
6.800000e-01	-4.940000e-04	2.367000e-03	4.418000e-03	3.452000e-03	5.190000e-01	3.043000e-03	-3.000000e-06	7.125000e-06	2.000000e-07	2.357600e-05
7.200000e-01	-4.990000e-04	2.485000e-03	4.854000e-03	3.329000e-03	5.202000e-01	3.339100e-03	-2.000000e-06	6.550000e-07	-7.500000e-08	2.598300e-05
7.600000e-01	-4.580000e-04	2.583000e-03	4.706000e-03	3.452000e-03	5.160000e-01	4.324600e-03	-1.000000e-06	6.350000e-06	-9.325000e-06	2.554700e-05
8.400000e-01	-2.490000e-04	3.183000e-03	4.947000e-03	4.091000e-03	5.138000e-01	5.010100e-03	-1.000000e-06	-5.350000e-06	-3.675000e-06	3.090700e-05
8.667000e-01	-3.170000e-04	3.313000e-03	5.119000e-03	4.373000e-03	5.079000e-01	6.562700e-03	-6.000000e-07	3.525000e-06	-3.900000e-06	3.399500e-05
8.933000e-01	1.260000e-03	2.993000e-03	8.074000e-03	6.659000e-03	5.076000e-01	5.837900e-03	-2.700000e-05	-3.925000e-06	-1.245000e-05	8.214900e-05
9.200000e-01	4.408000e-03	2.837000e-03	1.560000e-02	1.510000e-02	5.061000e-01	7.705400e-03	3.500000e-05	-3.752500e-05	-3.642500e-05	3.521000e-04
9.333000e-01	2.742000e-03	1.995000e-03	2.450000e-02	1.560000e-02	5.151000e-01	1.150000e-02	1.000000e-05	-6.545000e-05	3.777500e-05	6.335700e-04
9.467000e-01	-1.080000e-02	1.328000e-03	3.520000e-02	2.230000e-02	5.257000e-01	1.470000e-02	3.570000e-04	-8.390000e-05	6.725000e-05	1.299700e-03
9.600000e-01	-4.030000e-02	-2.262000e-03	4.650000e-02	2.540000e-02	5.198000e-01	1.660000e-02	5.960000e-04	-9.910000e-05	7.072500e-05	2.103000e-03
9.667000e-01	-6.840000e-02	-4.380000e-03	5.590000e-02	2.860000e-02	5.313000e-01	1.660000e-02	8.700000e-04	3.502000e-04	8.075000e-05	2.960000e-03
9.733000e-01	-9.160000e-02	-5.300000e-03	6.390000e-02	3.100000e-02	5.199000e-01	2.480000e-02	9.930000e-04	5.880800e-04	1.371300e-04	3.784400e-03
9.867000e-01	-1.828000e-01	-4.990000e-03	6.520000e-02	2.240000e-02	4.556000e-01	5.500000e-02	6.470000e-04	2.029800e-03	2.409800e-04	3.566500e-03
9.907000e-01	-2.185000e-01	-4.662000e-03	6.590000e-02	1.830000e-02	3.834000e-01	7.030000e-02	-3.300000e-04	2.741400e-03	1.524800e-04	3.507900e-03
9.960000e-01	-1.884000e-01	-1.592000e-03	4.290000e-02	1.060000e-02	2.434000e-01	5.720000e-02	1.000000e-06	1.947800e-03	7.095000e-05	1.467300e-03
9.967000e-01	-1.736000e-01	-1.405000e-03	3.820000e-02	8.606000e-03	2.136000e-01	4.650000e-02	-4.000000e-06	8.202300e-04	5.862500e-05	1.151100e-03
9.970000e-01	-1.604000e-01	-1.456000e-03	3.550000e-02	7.436000e-03	2.050000e-01	4.230000e-02	-6.000000e-06	5.015800e-04	3.642500e-05	9.858600e-04
9.973000e-01	-1.488000e-01	-8.650000e-04	3.260000e-02	6.620000e-03	1.865000e-01	3.610000e-02	-2.300000e-05	4.146500e-04	3.430000e-05	8.319000e-04
9.977000e-01	-1.268000e-01	-6.850000e-04	3.090000e-02	5.821000e-03	1.608000e-01	3.080000e-02	-1.400000e-05	3.771500e-04	3.085000e-05	7.413800e-04
9.980000e-01	-1.056000e-01	-5.100000e-04	2.770000e-02	5.032000e-03	1.324000e-01	2.970000e-02	-6.000000e-06	2.748500e-04	1.662500e-05	5.959100e-04
9.983000e-01	-8.350000e-02	-4.390000e-04	2.300000e-02	4.778000e-03	1.183000e-01	2.300000e-02	-2.000000e-06	1.304000e-04	1.575000e-05	4.147000e-04
9.987000e-01	-5.880000e-02	-3.970000e-04	2.110000e-02	4.041000e-03	9.350000e-02	1.710000e-02	-1.000000e-06	3.630000e-05	1.400000e-05	3.455500e-04
9.990000e-01	-3.140000e-02	-1.910000e-04	1.580000e-02	3.328000e-03	7.770000e-02	1.740000e-02	-1.000000e-06	-9.975000e-06	1.150000e-05	1.959200e-04
9.993000e-01	-3.389000e-03	-2.200000e-05	1.010000e-02	2.785000e-03	6.570000e-02	1.150000e-02	-1.000000e-06	-9.525000e-06	1.020000e-05	8.234000e-05
9.997000e-01	-4.120000e-04	-1.200000e-05	8.101000e-03	7.850000e-04	3.090000e-02	1.050000e-02	-1.000000e-06	-9.475000e-06	8.025000e-06	4.968200e-05
1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
