design_iteration,Cd_cl04,Cd_cl05,Cd_cl06,weighted_J,J_from_cd_history
0,0.016173887409,0.020901505417,0.028235978333,0.021553219144,0.021553219144
1,0.015863363255456016,0.020474534705877023,0.02784782314107002,0.02116506395207002,0.02116506395207002
2,0.015706567725073294,0.020258940851600783,0.02765182872809162,0.02096906953909162,0.020969069539091622
3,0.015425750016669293,0.01987281650254528,0.02730080659258662,0.02061804740358662,0.02061804740358662
4,0.015273735507210853,0.019663796552039925,0.02711078845576357,0.02042802926676357,0.02042802926676357
5,0.015241865806596025,0.01961997571369454,0.027070951329995034,0.020388192140995035,0.020388192140995035
6,0.015059505596051109,0.019369230424195277,0.02684300106681389,0.02016024187781389,0.02016024187781389
7,0.014985088160814088,0.019266906450744376,0.026749979272767614,0.020067220083767615,0.020067220083767615
8,0.014926437724117846,0.01918626210028704,0.02667666622689731,0.01999390703789731,0.019993907037897312
9,0.014968150828685727,0.019243617619067878,0.026728807607607163,0.020046048418607163,0.020046048418607163
10,0.014843783259832304,0.01907261221189442,0.026573348146540384,0.019890588957540385,0.019890588957540385
11,0.014815071427718287,0.01903313344273765,0.026537458356397862,0.019854699167397863,0.019854699167397863
12,0.014792442839586042,0.01900201913405581,0.026509172621232556,0.019826413432232556,0.019826413432232556
13,0.014774608624102153,0.018977497087765464,0.026486879851877695,0.019804120662877695,0.019804120662877695
14,0.014760552986160136,0.01895817058559519,0.026469310304450173,0.019786551115450173,0.019786551115450173
15,0.014749475349572447,0.018942938835287117,0.02645546325871556,0.019772704069715562,0.019772704069715562
16,0.014740744758127566,0.018930934272050406,0.02644455001940946,0.01976179083040946,0.01976179083040946
17,0.014733863937803298,0.01892147314410454,0.026435948994004126,0.019753189805004127,0.019753189805004127
18,0.014728440973204193,0.01891401656778077,0.026429170288255244,0.019746411099255245,0.019746411099255245
19,0.014724166984979354,0.018908139833971615,0.026423827802974195,0.019741068613974195,0.019741068613974195
20,0.014720798536778698,0.018903508217695715,0.026419617242723376,0.019736858053723376,0.019736858053723376
21,0.014718143769689131,0.01889985791294756,0.026416298783861418,0.01973353959486142,0.01973353959486142
22,0.014716051474400619,0.018896981006925852,0.026413683414750776,0.019730924225750776,0.019730924225750776
23,0.014714402478678338,0.018894713637807717,0.026411622170097925,0.019728862981097925,0.019728862981097925
24,0.014713102859591574,0.018892926661563416,0.02640999764623947,0.01972723845723947,0.01972723845723947
25,0.014712078593883751,0.01889151829621516,0.026408717314104692,0.019725958125104692,0.019725958125104692
