design_iteration,nonorthogonality_max_deg,skewness_max,remesh
0,70.44640458682032,3.323214959724046,0
1,70.53140458682032,3.419898536906325,0
2,70.61640458682032,3.5165821140886044,0
3,70.70140458682032,3.6132656912708834,0
4,70.78640458682032,3.7099492684531628,0
5,70.87140458682032,3.8066328456354417,0
6,70.95640458682033,3.9033164228177206,0
7,70.44640458682032,4.0,1
8,70.47640458682032,3.343214959724046,0
9,70.50640458682032,3.363214959724046,0
10,70.53640458682032,3.383214959724046,0
11,70.56640458682033,3.403214959724046,0
12,70.59640458682033,3.423214959724046,0
13,70.62640458682033,3.4432149597240462,0
14,70.65640458682032,3.4632149597240462,0
15,70.68640458682032,3.4832149597240463,0
16,70.71640458682032,3.5032149597240463,0
17,70.74640458682032,3.5232149597240463,0
18,70.77640458682032,3.5432149597240463,0
19,70.80640458682032,3.5632149597240463,0
20,70.83640458682032,3.583214959724046,0
21,70.86640458682032,3.6032149597240464,0
22,70.44640458682032,3.323214959724046,1
23,70.63093639121355,3.343214959724046,0
24,70.81546819560677,3.363214959724046,0
25,71.0,3.383214959724046,0
