"# SYNTHETIC: generated, not computed; illustrative of the registered MP_R2/MP_R3 optimisation whose first design iteration has not completed"
gmres_iteration,residual,source
0,0.0019479524233040001,REAL
5,0.0019371679464893234,REAL
10,0.0019264431759276205,REAL
15,0.0019157777810663102,REAL
20,0.0019051714331828548,REAL
25,0.0018946238053746277,REAL
30,0.001884134572548838,REAL
35,0.0018737034114125104,REAL
40,0.0018633300004625218,REAL
45,0.0018530140199756906,REAL
50,0.001842755151998924,REAL
55,0.0018325530803394168,REAL
60,0.0018224074905549067,REAL
65,0.001812318069943983,REAL
70,0.0018022845075364477,REAL
75,0.0017923064940837318,REAL
80,0.0017823837220493639,REAL
85,0.0017725158855994906,REAL
90,0.001762702680593451,REAL
95,0.0017529438045744028,REAL
100,0.0017432389567599994,REAL
105,0.0017423971666807674,REAL
110,0.0017415557830923007,REAL
115,0.0017407148057983096,REAL
120,0.0017398742346025988,REAL
125,0.0017390340693090702,REAL
130,0.0017381943097217146,REAL
135,0.0017373549556446233,REAL
140,0.0017365160068819796,REAL
145,0.001735677463238062,REAL
150,0.0017348393245172431,REAL
155,0.0017340015905239906,REAL
160,0.001733164261062866,REAL
165,0.0017323273359385251,REAL
170,0.0017314908149557188,REAL
175,0.0017306546979192912,REAL
180,0.0017298189846341836,REAL
185,0.001728983674905425,REAL
190,0.0017281487685381453,REAL
195,0.001727314265337565,REAL
200,0.0017264801651090001,REAL
205,0.0017262389225912922,REAL
210,0.0017259977137826044,REAL
215,0.0017257565386782255,REAL
220,0.001725515397273444,REAL
225,0.0017252742895635528,REAL
230,0.0017250332155438449,REAL
235,0.0017247921752096117,REAL
240,0.0017245511685561443,REAL
245,0.0017243101955787383,REAL
250,0.0017240692562726897,REAL
255,0.0017238283506332917,REAL
260,0.0017235874786558387,REAL
265,0.0017233466403356284,REAL
270,0.00172310583566796,REAL
275,0.001722865064648129,REAL
280,0.0017226243272714325,REAL
285,0.0017223836235331711,REAL
290,0.0017221429534286458,REAL
295,0.0017219023169531558,REAL
300,0.001721661714102,REAL
305,0.0017214560119081705,REAL
310,0.0017212503342914065,REAL
315,0.0017210446812487715,REAL
320,0.001720839052777331,REAL
325,0.0017206334488741458,REAL
330,0.0017204278695362825,REAL
335,0.001720222314760806,REAL
340,0.0017200167845447813,REAL
345,0.0017198112788852746,REAL
350,0.0017196057977793514,REAL
355,0.0017194003412240799,REAL
360,0.0017191949092165235,REAL
365,0.001718989501753751,REAL
370,0.0017187841188328298,REAL
375,0.0017185787604508276,REAL
380,0.0017183734266048127,REAL
385,0.0017181681172918548,REAL
390,0.0017179628325090198,REAL
395,0.0017177575722533785,REAL
400,0.0017175523365220004,REAL
405,0.0017173297333165356,synthetic extension
410,0.0017171071589615384,synthetic extension
415,0.001716884613453269,synthetic extension
420,0.0017166620967879887,synthetic extension
425,0.0017164396089619596,synthetic extension
430,0.0017162171499714436,synthetic extension
435,0.001715994719812704,synthetic extension
440,0.0017157723184820033,synthetic extension
445,0.001715549945975606,synthetic extension
450,0.001715327602289776,synthetic extension
455,0.001715105287420778,synthetic extension
460,0.0017148830013648771,synthetic extension
465,0.0017146607441183394,synthetic extension
470,0.0017144385156774304,synthetic extension
475,0.0017142163160384174,synthetic extension
480,0.001713994145197567,synthetic extension
485,0.0017137720031511474,synthetic extension
490,0.0017135498898954262,synthetic extension
495,0.0017133278054266721,synthetic extension
500,0.0017131057497411543,synthetic extension
505,0.0017128837228351423,synthetic extension
510,0.001712661724704906,synthetic extension
515,0.001712439755346716,synthetic extension
520,0.0017122178147568434,synthetic extension
525,0.0017119959029315596,synthetic extension
530,0.0017117740198671367,synthetic extension
535,0.001711552165559847,synthetic extension
540,0.0017113303400059633,synthetic extension
545,0.0017111085432017594,synthetic extension
550,0.0017108867751435088,synthetic extension
555,0.0017106650358274863,synthetic extension
560,0.0017104433252499661,synthetic extension
565,0.0017102216434072245,synthetic extension
570,0.0017099999902955366,synthetic extension
575,0.0017097783659111789,synthetic extension
580,0.0017095567702504282,synthetic extension
585,0.0017093352033095619,synthetic extension
590,0.0017091136650848578,synthetic extension
595,0.0017088921555725937,synthetic extension
600,0.0017086706747690488,synthetic extension
605,0.0017084492226705022,synthetic extension
610,0.0017082277992732334,synthetic extension
615,0.0017080064045735229,synthetic extension
620,0.001707785038567651,synthetic extension
625,0.0017075637012518993,synthetic extension
630,0.0017073423926225488,synthetic extension
635,0.0017071211126758821,synthetic extension
640,0.0017068998614081816,synthetic extension
645,0.0017066786388157304,synthetic extension
650,0.001706457444894812,synthetic extension
655,0.0017062362796417103,synthetic extension
660,0.0017060151430527103,synthetic extension
665,0.0017057940351240964,synthetic extension
670,0.0017055729558521544,synthetic extension
675,0.00170535190523317,synthetic extension
680,0.0017051308832634303,synthetic extension
685,0.0017049098899392214,synthetic extension
690,0.001704688925256831,synthetic extension
695,0.001704467989212547,synthetic extension
700,0.001704247081802658,synthetic extension
