iteration,Cl
1,0.008857601366306839
100,0.3409369474863518
200,0.4053608915060873
300,0.4812528555872623
400,0.4985772249002607
500,0.5004621695743425
600,0.5002051620567749
700,0.5000365596908702
800,0.5000074294999162
900,0.5000128464023385
1000,0.500014041974587
1100,0.5000137222093495
1200,0.5000136835157616
1300,0.5000136671172993
1400,0.5000136978297188
1500,0.5000137516668621
1600,0.5000137280650752
1700,0.500013725968565
1800,0.5000137242919397
1900,0.5000136907425353
2000,0.5000136952243076
